,contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
15,AAPL251128P00150000,AAPL,2025-11-28,150.00,put,0.00,0.01,0.00,0,0.01,750,0,39,2025-11-24,1.87337,-0.00067,0.00004,-0.01570,0.00067,-0.00002
16,AAPL251128C00155000,AAPL,2025-11-28,155.00,call,121.16,121.15,119.90,20,122.40,30,2,3,2025-11-24,2.36116,0.99302,0.00028,-0.18192,0.00561,0.01675
17,AAPL251128P00155000,AAPL,2025-11-28,155.00,put,0.00,0.01,0.00,0,0.01,42,0,12,2025-11-24,1.77581,-0.00069,0.00005,-0.01539,0.00069,-0.00002
18,AAPL251128C00160000,AAPL,2025-11-28,160.00,call,109.91,116.15,114.90,20,117.40,30,0,10,2025-11-24,2.22458,0.99302,0.00030,-0.17292,0.00561,0.01730
19,AAPL251128P00160000,AAPL,2025-11-28,160.00,put,0.00,0.01,0.00,0,0.01,44,0,6,2025-11-24,1.67825,-0.00071,0.00005,-0.01480,0.00071,-0.00002
20,AAPL251128C00165000,AAPL,2025-11-28,165.00,call,0.00,111.15,109.90,20,112.40,30,0,0,2025-11-24,2.10751,0.99271,0.00033,-0.17095,0.00583,0.01784
21,AAPL251128P00165000,AAPL,2025-11-28,165.00,put,0.00,0.01,0.00,0,0.01,48,0,122,2025-11-24,1.60021,-0.0008,0.00006,-0.01584,0.00079,-0.00003
22,AAPL251128C00170000,AAPL,2025-11-28,170.00,call,102.86,106.15,104.90,20,107.40,30,0,3,2025-11-24,1.99044,0.99246,0.00036,-0.16733,0.00601,0.01838
23,AAPL251128P00170000,AAPL,2025-11-28,170.00,put,0.00,0.01,0.00,0,0.01,16,0,132,2025-11-24,1.50265,-0.00079,0.00006,-0.01466,0.00078,-0.00002
24,AAPL251128C00175000,AAPL,2025-11-28,175.00,call,96.85,101.15,99.90,20,102.40,30,0,1,2025-11-24,1.89288,0.99178,0.00041,-0.17174,0.00648,0.01890
25,AAPL251128P00175000,AAPL,2025-11-28,175.00,put,0.00,0.01,0.00,0,0.01,60,0,340,2025-11-24,1.42460,-0.00087,0.00007,-0.01525,0.00086,-0.00003
26,AAPL251128C00180000,AAPL,2025-11-28,180.00,call,87.46,96.18,94.95,20,97.40,30,0,2,2025-11-24,1.81483,0.9905,0.00049,-0.18580,0.00736,0.01941
27,AAPL251128P00180000,AAPL,2025-11-28,180.00,put,0.00,0.01,0.00,0,0.01,26,0,54,2025-11-24,1.34655,-0.00096,0.00008,-0.01567,0.00093,-0.00003
28,AAPL251128C00185000,AAPL,2025-11-28,185.00,call,85.67,91.22,90.10,9,92.35,31,0,5,2025-11-24,1.75630,0.98835,0.00060,-0.21232,0.00879,0.01989
29,AAPL251128P00185000,AAPL,2025-11-28,185.00,put,0.00,0.01,0.00,0,0.01,27,0,64,2025-11-24,1.26851,-0.00104,0.00009,-0.01589,0.00100,-0.00003
30,AAPL251128C00190000,AAPL,2025-11-28,190.00,call,80.15,86.18,84.95,20,87.40,30,0,8,2025-11-24,1.60021,0.98965,0.00059,-0.17853,0.00793,0.02048
31,AAPL251128P00190000,AAPL,2025-11-28,190.00,put,0.00,0.01,0.00,0,0.01,24,0,304,2025-11-24,1.19046,-0.00111,0.00011,-0.01588,0.00107,-0.00003
32,AAPL251128C00195000,AAPL,2025-11-28,195.00,call,75.43,81.18,79.95,20,82.40,30,0,5,2025-11-24,1.50265,0.98893,0.00067,-0.17836,0.00841,0.02101
33,AAPL251128P00195000,AAPL,2025-11-28,195.00,put,0.00,0.01,0.00,0,0.01,24,0,120,2025-11-24,1.11241,-0.00117,0.00012,-0.01562,0.00113,-0.00004
34,AAPL251128C00200000,AAPL,2025-11-28,200.00,call,68.77,76.18,74.95,22,77.40,30,0,101,2025-11-24,1.40509,0.98822,0.00076,-0.17685,0.00888,0.02153
35,AAPL251128P00200000,AAPL,2025-11-28,200.00,put,0.00,0.01,0.00,0,0.01,44,0,720,2025-11-24,1.03437,-0.00122,0.00014,-0.01509,0.00117,-0.00004
36,AAPL251128C00205000,AAPL,2025-11-28,205.00,call,69.20,71.18,69.95,20,72.40,30,1,13,2025-11-24,1.30753,0.98752,0.00086,-0.17392,0.00933,0.02206
37,AAPL251128P00205000,AAPL,2025-11-28,205.00,put,0.00,0.01,0.00,0,0.01,52,0,349,2025-11-24,0.95632,-0.00126,0.00015,-0.01428,0.00120,-0.00004
38,AAPL251128C00210000,AAPL,2025-11-28,210.00,call,65.41,66.15,65.35,11,66.95,11,3,105,2025-11-24,1.19046,0.98798,0.00091,-0.15643,0.00904,0.02262
39,AAPL251128P00210000,AAPL,2025-11-28,210.00,put,0.01,0.01,0.00,0,0.01,89,1,393,2025-11-24,0.87827,-0.00126,0.00016,-0.01320,0.00121,-0.00004
40,AAPL251128C00215000,AAPL,2025-11-28,215.00,call,61.07,61.17,59.95,20,62.40,30,4,64,2025-11-24,1.11241,0.98624,0.00109,-0.16361,0.01015,0.02312
41,AAPL251128P00215000,AAPL,2025-11-28,215.00,put,0.01,0.01,0.00,0,0.01,104,1,267,2025-11-24,0.81974,-0.00156,0.00021,-0.01495,0.00146,-0.00005
42,AAPL251128C00220000,AAPL,2025-11-28,220.00,call,56.45,56.17,54.95,20,57.40,61,12,187,2025-11-24,1.01485,0.9857,0.00124,-0.15612,0.01050,0.02365
43,AAPL251128P00220000,AAPL,2025-11-28,220.00,put,0.01,0.01,0.00,0,0.01,35,170,3750,2025-11-24,0.74169,-0.00153,0.00023,-0.01327,0.00144,-0.00005
44,AAPL251128C00222500,AAPL,2025-11-28,222.50,call,50.35,53.70,52.45,20,54.95,30,0,11,2025-11-24,0.99534,0.98305,0.00146,-0.17423,0.01214,0.02384
45,AAPL251128P00222500,AAPL,2025-11-28,222.50,put,0.01,0.01,0.00,0,0.02,111,37,125,2025-11-24,0.70267,-0.0015,0.00024,-0.01233,0.00141,-0.00005
46,AAPL251128C00225000,AAPL,2025-11-28,225.00,call,51.13,50.98,50.50,11,51.45,51,1,264,2025-11-24,0.01976,1.0,0.00000,-0.02391,0.00000,0.02465
47,AAPL251128P00225000,AAPL,2025-11-28,225.00,put,0.01,0.01,0.00,0,0.02,122,149,1700,2025-11-24,0.68315,-0.0019,0.00031,-0.01487,0.00175,-0.00006
48,AAPL251128C00227500,AAPL,2025-11-28,227.50,call,44.58,48.70,47.45,20,49.95,30,0,18,2025-11-24,0.89778,0.98234,0.00168,-0.16483,0.01258,0.02437
49,AAPL251128P00227500,AAPL,2025-11-28,227.50,put,0.01,0.01,0.00,0,0.01,1,150,154,2025-11-24,0.64413,-0.00186,0.00032,-0.01372,0.00171,-0.00006
50,AAPL251128C00230000,AAPL,2025-11-28,230.00,call,45.25,46.23,45.00,53,47.45,58,14,288,2025-11-24,0.87827,0.97884,0.00200,-0.18481,0.01467,0.02453
51,AAPL251128P00230000,AAPL,2025-11-28,230.00,put,0.01,0.01,0.00,0,0.01,2,133,723,2025-11-24,0.60511,-0.0018,0.00033,-0.01251,0.00166,-0.00006
52,AAPL251128C00232500,AAPL,2025-11-28,232.50,call,39.80,43.73,42.50,23,44.95,35,0,808,2025-11-24,0.83925,0.97712,0.00224,-0.18839,0.01567,0.02475
53,AAPL251128P00232500,AAPL,2025-11-28,232.50,put,0.02,0.01,0.00,0,0.02,1,35,175,2025-11-24,0.58560,-0.00232,0.00043,-0.01528,0.00210,-0.00007
54,AAPL251128C00235000,AAPL,2025-11-28,235.00,call,41.19,41.27,40.30,39,42.25,52,25,339,2025-11-24,0.81974,0.97248,0.00268,-0.21161,0.01830,0.02488
55,AAPL251128P00235000,AAPL,2025-11-28,235.00,put,0.02,0.02,0.01,20,0.03,124,159,1123,2025-11-24,0.58560,-0.00395,0.00069,-0.02466,0.00339,-0.00012
56,AAPL251128C00237500,AAPL,2025-11-28,237.50,call,37.47,38.78,37.60,20,39.95,134,2,225,2025-11-24,0.78071,0.96999,0.00302,-0.21615,0.01966,0.02508
57,AAPL251128P00237500,AAPL,2025-11-28,237.50,put,0.02,0.02,0.01,17,0.03,94,214,277,2025-11-24,0.54657,-0.00395,0.00074,-0.02298,0.00338,-0.00012
58,AAPL251128C00240000,AAPL,2025-11-28,240.00,call,36.40,36.05,35.75,26,36.35,132,145,1720,2025-11-24,0.52706,0.99481,0.00098,-0.05378,0.00432,0.02613
59,AAPL251128P00240000,AAPL,2025-11-28,240.00,put,0.03,0.02,0.01,46,0.03,23,321,1449,2025-11-24,0.50755,-0.00391,0.00079,-0.02117,0.00335,-0.00012
60,AAPL251128C00242500,AAPL,2025-11-28,242.50,call,34.06,33.73,32.50,20,34.95,30,15,66,2025-11-24,0.66364,0.97123,0.00343,-0.18235,0.01898,0.02567
61,AAPL251128P00242500,AAPL,2025-11-28,242.50,put,0.03,0.03,0.02,38,0.04,101,1485,1541,2025-11-24,0.50755,-0.00686,0.00131,-0.03487,0.00553,-0.00021
62,AAPL251128C00245000,AAPL,2025-11-28,245.00,call,31.65,30.92,30.65,30,31.20,140,159,628,2025-11-24,0.01976,1.0,0.00000,-0.02603,0.00000,0.02684
63,AAPL251128P00245000,AAPL,2025-11-28,245.00,put,0.03,0.04,0.03,1,0.04,52,1694,2229,2025-11-24,0.48804,-0.00913,0.00175,-0.04311,0.00711,-0.00028
64,AAPL251128C00247500,AAPL,2025-11-28,247.50,call,28.82,28.75,27.50,21,30.00,55,4,214,2025-11-24,0.58560,0.96491,0.00458,-0.18896,0.02237,0.02602
65,AAPL251128P00247500,AAPL,2025-11-28,247.50,put,0.03,0.04,0.03,45,0.05,82,303,1835,2025-11-24,0.44901,-0.00951,0.00197,-0.04108,0.00737,-0.00029
66,AAPL251128C00250000,AAPL,2025-11-28,250.00,call,27.07,26.00,25.30,36,26.70,55,79,2314,2025-11-24,0.01976,1.0,0.00000,-0.02656,0.00000,0.02739
67,AAPL251128P00250000,AAPL,2025-11-28,250.00,put,0.05,0.05,0.04,49,0.06,44,1172,5881,2025-11-24,0.42950,-0.01301,0.00270,-0.05155,0.00967,-0.00040
68,AAPL251128C00252500,AAPL,2025-11-28,252.50,call,23.80,23.77,22.55,25,25.00,55,11,128,2025-11-24,0.48804,0.96164,0.00591,-0.17245,0.02406,0.02648
69,AAPL251128P00252500,AAPL,2025-11-28,252.50,put,0.07,0.06,0.05,99,0.07,25,2451,2531,2025-11-24,0.39048,-0.01388,0.00314,-0.04952,0.01023,-0.00043
70,AAPL251128C00255000,AAPL,2025-11-28,255.00,call,21.02,20.95,20.75,55,21.15,52,125,4391,2025-11-24,0.01976,1.0,0.00000,-0.02710,0.00000,0.02793
71,AAPL251128P00255000,AAPL,2025-11-28,255.00,put,0.08,0.08,0.07,45,0.09,123,5769,11240,2025-11-24,0.37097,-0.01967,0.00445,-0.06334,0.01379,-0.00060
72,AAPL251128C00257500,AAPL,2025-11-28,257.50,call,18.85,18.80,18.10,15,19.50,11,40,359,2025-11-24,0.40999,0.94962,0.00876,-0.17946,0.02997,0.02666
73,AAPL251128P00257500,AAPL,2025-11-28,257.50,put,0.10,0.10,0.09,15,0.11,18,3242,4063,2025-11-24,0.35146,-0.02821,0.00637,-0.08119,0.01867,-0.00087
74,AAPL251128C00260000,AAPL,2025-11-28,260.00,call,16.15,15.97,15.75,18,16.20,82,132,2462,2025-11-24,0.01976,1.0,0.00000,-0.02763,0.00000,0.02848
75,AAPL251128P00260000,AAPL,2025-11-28,260.00,put,0.13,0.14,0.13,43,0.15,89,11364,12309,2025-11-24,0.33194,-0.04094,0.00916,-0.10404,0.02537,-0.00126
76,AAPL251128C00262500,AAPL,2025-11-28,262.50,call,13.77,13.52,13.35,19,13.70,56,131,630,2025-11-24,0.01976,1.0,0.00000,-0.02789,0.00000,0.02875
77,AAPL251128P00262500,AAPL,2025-11-28,262.50,put,0.19,0.20,0.19,49,0.21,59,4857,3500,2025-11-24,0.29292,-0.04894,0.01198,-0.10578,0.02929,-0.00150
78,AAPL251128C00265000,AAPL,2025-11-28,265.00,call,11.25,11.20,11.15,21,11.25,95,815,4722,2025-11-24,0.25390,0.93926,0.01640,-0.13661,0.03474,0.02717
79,AAPL251128P00265000,AAPL,2025-11-28,265.00,put,0.30,0.29,0.29,6,0.30,137,11720,9173,2025-11-24,0.27341,-0.07493,0.01791,-0.13741,0.04086,-0.00230
80,AAPL251128C00267500,AAPL,2025-11-28,267.50,call,8.70,8.78,8.75,44,8.80,54,1003,2311,2025-11-24,0.21487,0.92042,0.02386,-0.14094,0.04277,0.02687
81,AAPL251128P00267500,AAPL,2025-11-28,267.50,put,0.47,0.47,0.47,11,0.47,4,9699,6791,2025-11-24,0.25390,-0.11599,0.02663,-0.17557,0.05641,-0.00355
82,AAPL251128C00270000,AAPL,2025-11-28,270.00,call,6.52,6.55,6.50,28,6.60,46,4667,12543,2025-11-24,0.21487,0.83998,0.03921,-0.21272,0.07029,0.02468
83,AAPL251128P00270000,AAPL,2025-11-28,270.00,put,0.79,0.79,0.79,103,0.78,1,17899,6079,2025-11-24,0.25390,-0.19897,0.03806,-0.24993,0.08062,-0.00611
84,AAPL251128C00272500,AAPL,2025-11-28,272.50,call,4.70,4.53,4.50,29,4.55,76,11311,9192,2025-11-24,0.21487,0.7206,0.05418,-0.28153,0.09713,0.02128
85,AAPL251128P00272500,AAPL,2025-11-28,272.50,put,1.31,1.29,1.31,26,1.27,5,26264,2552,2025-11-24,0.23438,-0.29532,0.05099,-0.28334,0.09971,-0.00907
86,AAPL251128C00275000,AAPL,2025-11-28,275.00,call,2.92,2.87,2.91,1,2.83,26,49210,19067,2025-11-24,0.19536,0.57704,0.06938,-0.29276,0.11308,0.01714
87,AAPL251128P00275000,AAPL,2025-11-28,275.00,put,1.99,2.08,2.14,46,2.03,7,25249,4228,2025-11-24,0.21487,-0.42911,0.06326,-0.29181,0.11341,-0.01319
88,AAPL251128C00277500,AAPL,2025-11-28,277.50,call,1.79,1.58,1.60,1,1.56,6,57990,11328,2025-11-24,0.19536,0.402,0.06855,-0.28449,0.11174,0.01198
89,AAPL251128P00277500,AAPL,2025-11-28,277.50,put,3.35,3.33,3.35,34,3.30,1,8062,1962,2025-11-24,0.21487,-0.5885,0.06269,-0.28425,0.11239,-0.01815
90,AAPL251128C00280000,AAPL,2025-11-28,280.00,call,0.77,0.74,0.75,56,0.73,47,86659,27037,2025-11-24,0.19536,0.24613,0.05585,-0.22942,0.09103,0.00735
91,AAPL251128P00280000,AAPL,2025-11-28,280.00,put,4.60,5.03,5.00,46,5.05,23,2535,567,2025-11-24,0.21487,-0.73316,0.05296,-0.23297,0.09494,-0.02271
92,AAPL251128C00282500,AAPL,2025-11-28,282.50,call,0.33,0.30,0.31,2,0.29,44,25190,7688,2025-11-24,0.17585,0.10603,0.03605,-0.11935,0.05289,0.00318
93,AAPL251128P00282500,AAPL,2025-11-28,282.50,put,6.00,6.95,6.90,46,7.00,19,689,35,2025-11-24,0.21487,-0.84556,0.03830,-0.15888,0.06866,-0.02633
94,AAPL251128C00285000,AAPL,2025-11-28,285.00,call,0.12,0.11,0.11,577,0.11,59,17495,10130,2025-11-24,0.17585,0.04212,0.01769,-0.05829,0.02596,0.00126
95,AAPL251128P00285000,AAPL,2025-11-28,285.00,put,9.20,9.22,8.95,46,9.50,23,227,91,2025-11-24,0.21487,-0.92062,0.02381,-0.08668,0.04269,-0.02884
96,AAPL251128C00287500,AAPL,2025-11-28,287.50,call,0.04,0.04,0.04,100,0.05,78,8431,3295,2025-11-24,0.19536,0.0239,0.00997,-0.04039,0.01625,0.00072
97,AAPL251128P00287500,AAPL,2025-11-28,287.50,put,10.70,11.93,11.45,46,12.40,84,60,12,2025-11-24,0.31243,-0.89021,0.02081,-0.18445,0.05424,-0.02823
98,AAPL251128C00290000,AAPL,2025-11-28,290.00,call,0.02,0.02,0.01,545,0.03,248,6254,6998,2025-11-24,0.19536,0.00814,0.00394,-0.01594,0.00643,0.00024
99,AAPL251128P00290000,AAPL,2025-11-28,290.00,put,14.12,14.25,14.10,38,14.40,29,282,147,2025-11-24,0.31243,-0.9322,0.01452,-0.11893,0.03784,-0.02975
100,AAPL251128C00292500,AAPL,2025-11-28,292.50,call,0.01,0.01,0.01,100,0.02,9,1311,1298,2025-11-24,0.21487,0.00517,0.00240,-0.01171,0.00431,0.00016
101,AAPL251128P00292500,AAPL,2025-11-28,292.50,put,17.65,16.82,15.75,20,17.90,30,2,1,2025-11-24,0.37097,-0.92952,0.01260,-0.15173,0.03899,-0.02995
102,AAPL251128C00295000,AAPL,2025-11-28,295.00,call,0.02,0.01,0.01,19,0.02,80,1724,5135,2025-11-24,0.23438,0.00351,0.00156,-0.00903,0.00305,0.00011
103,AAPL251128P00295000,AAPL,2025-11-28,295.00,put,18.75,19.12,18.25,20,20.00,50,5,2,2025-11-24,0.35146,-0.96306,0.00795,-0.07219,0.02333,-0.03121
104,AAPL251128C00297500,AAPL,2025-11-28,297.50,call,0.01,0.01,0.00,0,0.01,1,233,300,2025-11-24,0.27341,0.00464,0.00171,-0.01348,0.00390,0.00014
105,AAPL251128P00297500,AAPL,2025-11-28,297.50,put,0.00,21.82,20.75,6,22.90,30,0,0,2025-11-24,0.46853,-0.93347,0.00954,-0.18870,0.03729,-0.03062
106,AAPL251128C00300000,AAPL,2025-11-28,300.00,call,0.01,0.01,0.00,0,0.01,154,1668,5017,2025-11-24,0.29292,0.00347,0.00123,-0.01114,0.00301,0.00010
107,AAPL251128P00300000,AAPL,2025-11-28,300.00,put,23.75,24.12,23.25,20,25.00,56,1,0,2025-11-24,0.42950,-0.9663,0.00604,-0.08525,0.02164,-0.03186
108,AAPL251128C00302500,AAPL,2025-11-28,302.50,call,0.01,0.01,0.00,0,0.01,40,42,389,2025-11-24,0.33194,0.00443,0.00135,-0.01570,0.00375,0.00013
109,AAPL251128P00302500,AAPL,2025-11-28,302.50,put,0.00,26.82,25.75,6,27.90,30,0,0,2025-11-24,0.54657,-0.94195,0.00735,-0.19860,0.03353,-0.03142
110,AAPL251128C00305000,AAPL,2025-11-28,305.00,call,0.01,0.01,0.00,0,0.01,3,116,1145,2025-11-24,0.35146,0.00354,0.00104,-0.01356,0.00306,0.00011
111,AAPL251128P00305000,AAPL,2025-11-28,305.00,put,28.54,29.27,29.15,10,29.40,23,230,1,2025-11-24,0.56608,-0.95094,0.00621,-0.17662,0.02934,-0.03196
112,AAPL251128C00307500,AAPL,2025-11-28,307.50,call,0.01,0.01,0.00,0,0.01,13,20,46,2025-11-24,0.37097,0.00289,0.00083,-0.01193,0.00256,0.00009
113,AAPL251128P00307500,AAPL,2025-11-28,307.50,put,32.57,31.82,30.75,20,32.90,30,2,0,2025-11-24,0.62462,-0.94717,0.00597,-0.21183,0.03112,-0.03213
114,AAPL251128C00310000,AAPL,2025-11-28,310.00,call,0.01,0.01,0.00,0,0.01,46,5,783,2025-11-24,0.39048,0.00241,0.00067,-0.01067,0.00217,0.00007
115,AAPL251128P00310000,AAPL,2025-11-28,310.00,put,36.62,34.35,33.25,20,35.45,13,5,6,2025-11-24,0.66364,-0.94903,0.00546,-0.21946,0.03025,-0.03246
116,AAPL251128C00312500,AAPL,2025-11-28,312.50,call,0.01,0.01,0.00,0,0.01,16,0,35,2025-11-24,0.42950,0.0031,0.00076,-0.01471,0.00272,0.00009
117,AAPL251128P00312500,AAPL,2025-11-28,312.50,put,0.00,36.85,35.80,17,37.90,30,0,0,2025-11-24,0.70267,-0.95052,0.00504,-0.22770,0.02954,-0.03278
118,AAPL251128C00315000,AAPL,2025-11-28,315.00,call,0.01,0.01,0.00,0,0.01,98,0,486,2025-11-24,0.44901,0.00267,0.00064,-0.01344,0.00238,0.00008
119,AAPL251128P00315000,AAPL,2025-11-28,315.00,put,0.00,39.33,38.25,5,40.40,30,0,0,2025-11-24,0.72218,-0.95625,0.00444,-0.20940,0.02677,-0.03322
120,AAPL251128C00317500,AAPL,2025-11-28,317.50,call,0.02,0.01,0.00,0,0.01,35,0,1,2025-11-24,0.46853,0.00234,0.00054,-0.01242,0.00211,0.00007
121,AAPL251128P00317500,AAPL,2025-11-28,317.50,put,0.00,41.67,40.75,4,42.60,30,0,1,2025-11-24,0.70267,-0.96896,0.00345,-0.14473,0.02022,-0.03387
122,AAPL251128C00320000,AAPL,2025-11-28,320.00,call,0.01,0.01,0.00,0,0.01,100,0,2770,2025-11-24,0.48804,0.00207,0.00046,-0.01159,0.00189,0.00006
123,AAPL251128P00320000,AAPL,2025-11-28,320.00,put,0.00,44.30,43.25,5,45.35,30,0,0,2025-11-24,0.78071,-0.96142,0.00371,-0.20298,0.02417,-0.03392
124,AAPL251128C00322500,AAPL,2025-11-28,322.50,call,0.03,0.01,0.00,0,0.01,29,0,10,2025-11-24,0.52706,0.00262,0.00053,-0.01548,0.00234,0.00008
125,AAPL251128P00322500,AAPL,2025-11-28,322.50,put,0.00,46.83,45.75,3,47.90,30,0,0,2025-11-24,0.83925,-0.9579,0.00371,-0.23914,0.02595,-0.03410
126,AAPL251128C00325000,AAPL,2025-11-28,325.00,call,0.01,0.01,0.00,0,0.01,41,0,343,2025-11-24,0.54657,0.00236,0.00047,-0.01462,0.00213,0.00007
127,AAPL251128P00325000,AAPL,2025-11-28,325.00,put,0.00,49.33,48.25,4,50.40,30,0,0,2025-11-24,0.85876,-0.96175,0.00335,-0.22417,0.02400,-0.03449
128,AAPL251128C00330000,AAPL,2025-11-28,330.00,call,0.01,0.01,0.00,0,0.01,59,6,721,2025-11-24,0.58560,0.00198,0.00037,-0.01331,0.00181,0.00006
129,AAPL251128P00330000,AAPL,2025-11-28,330.00,put,0.00,54.27,53.25,6,55.30,30,0,0,2025-11-24,0.89778,-0.96805,0.00276,-0.19820,0.02071,-0.03522
130,AAPL251128C00335000,AAPL,2025-11-28,335.00,call,0.01,0.01,0.00,0,0.01,24,0,80,2025-11-24,0.62462,0.00171,0.00030,-0.01242,0.00158,0.00005
131,AAPL251128P00335000,AAPL,2025-11-28,335.00,put,0.00,59.33,58.25,6,60.40,30,0,0,2025-11-24,0.99534,-0.96453,0.00272,-0.24615,0.02256,-0.03567
132,AAPL251128C00340000,AAPL,2025-11-28,340.00,call,0.01,0.01,0.00,0,0.01,62,14,416,2025-11-24,0.68315,0.002,0.00032,-0.01568,0.00183,0.00006
133,AAPL251128P00340000,AAPL,2025-11-28,340.00,put,0.00,64.28,63.25,6,65.30,30,0,0,2025-11-24,1.03437,-0.9693,0.00232,-0.22378,0.02004,-0.03635
134,AAPL251128C00345000,AAPL,2025-11-28,345.00,call,0.01,0.01,0.00,0,0.01,40,0,99,2025-11-24,0.72218,0.0018,0.00028,-0.01504,0.00166,0.00005
135,AAPL251128P00345000,AAPL,2025-11-28,345.00,put,0.00,69.33,68.25,7,70.40,30,0,0,2025-11-24,1.11241,-0.96833,0.00221,-0.25006,0.02056,-0.03688
136,AAPL251128C00350000,AAPL,2025-11-28,350.00,call,0.01,0.01,0.00,0,0.01,38,0,560,2025-11-24,0.76120,0.00164,0.00024,-0.01463,0.00153,0.00005
137,AAPL251128P00350000,AAPL,2025-11-28,350.00,put,0.00,74.28,73.25,4,75.30,30,0,0,2025-11-24,1.15144,-0.97188,0.00194,-0.23164,0.01862,-0.03753
138,AAPL251128C00355000,AAPL,2025-11-28,355.00,call,0.01,0.01,0.00,0,0.01,38,0,20,2025-11-24,0.80022,0.00153,0.00022,-0.01441,0.00144,0.00005
139,AAPL251128P00355000,AAPL,2025-11-28,355.00,put,0.00,79.33,78.25,3,80.40,30,0,0,2025-11-24,1.22948,-0.97064,0.00188,-0.25977,0.01930,-0.03804
140,AAPL251128C00360000,AAPL,2025-11-28,360.00,call,0.01,0.01,0.00,0,0.01,50,0,51,2025-11-24,0.83925,0.00145,0.00019,-0.01435,0.00136,0.00004
141,AAPL251128P00360000,AAPL,2025-11-28,360.00,put,0.00,84.28,83.25,3,85.30,50,0,0,2025-11-24,1.26851,-0.97341,0.00168,-0.24434,0.01778,-0.03867
142,AAPL251128C00365000,AAPL,2025-11-28,365.00,call,0.01,0.01,0.00,0,0.01,19,0,5,2025-11-24,0.87827,0.00138,0.00018,-0.01441,0.00131,0.00004
143,AAPL251128P00365000,AAPL,2025-11-28,365.00,put,0.00,89.33,88.25,3,90.40,50,0,0,2025-11-24,1.34655,-0.97202,0.00165,-0.27420,0.01855,-0.03918
144,AAPL251128C00370000,AAPL,2025-11-28,370.00,call,0.01,0.01,0.00,0,0.01,100,0,101,2025-11-24,0.91729,0.00134,0.00017,-0.01459,0.00127,0.00004
145,AAPL251128P00370000,AAPL,2025-11-28,370.00,put,0.00,94.28,93.25,5,95.30,30,0,0,2025-11-24,1.38558,-0.97425,0.00150,-0.26113,0.01731,-0.03979
