,contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
50,AAPL251128C00230000,AAPL,2025-11-28,230.00,call,45.25,46.23,45.00,53,47.45,58,14,288,2025-11-24,0.87827,0.97884,0.00200,-0.18481,0.01467,0.02453
52,AAPL251128C00232500,AAPL,2025-11-28,232.50,call,39.80,43.73,42.50,23,44.95,35,0,808,2025-11-24,0.83925,0.97712,0.00224,-0.18839,0.01567,0.02475
54,AAPL251128C00235000,AAPL,2025-11-28,235.00,call,41.19,41.27,40.30,39,42.25,52,25,339,2025-11-24,0.81974,0.97248,0.00268,-0.21161,0.01830,0.02488
56,AAPL251128C00237500,AAPL,2025-11-28,237.50,call,37.47,38.78,37.60,20,39.95,134,2,225,2025-11-24,0.78071,0.96999,0.00302,-0.21615,0.01966,0.02508
58,AAPL251128C00240000,AAPL,2025-11-28,240.00,call,36.40,36.05,35.75,26,36.35,132,145,1720,2025-11-24,0.52706,0.99481,0.00098,-0.05378,0.00432,0.02613
60,AAPL251128C00242500,AAPL,2025-11-28,242.50,call,34.06,33.73,32.50,20,34.95,30,15,66,2025-11-24,0.66364,0.97123,0.00343,-0.18235,0.01898,0.02567
62,AAPL251128C00245000,AAPL,2025-11-28,245.00,call,31.65,30.92,30.65,30,31.20,140,159,628,2025-11-24,0.01976,1.0,0.00000,-0.02603,0.00000,0.02684
64,AAPL251128C00247500,AAPL,2025-11-28,247.50,call,28.82,28.75,27.50,21,30.00,55,4,214,2025-11-24,0.58560,0.96491,0.00458,-0.18896,0.02237,0.02602
66,AAPL251128C00250000,AAPL,2025-11-28,250.00,call,27.07,26.00,25.30,36,26.70,55,79,2314,2025-11-24,0.01976,1.0,0.00000,-0.02656,0.00000,0.02739
68,AAPL251128C00252500,AAPL,2025-11-28,252.50,call,23.80,23.77,22.55,25,25.00,55,11,128,2025-11-24,0.48804,0.96164,0.00591,-0.17245,0.02406,0.02648
70,AAPL251128C00255000,AAPL,2025-11-28,255.00,call,21.02,20.95,20.75,55,21.15,52,125,4391,2025-11-24,0.01976,1.0,0.00000,-0.02710,0.00000,0.02793
72,AAPL251128C00257500,AAPL,2025-11-28,257.50,call,18.85,18.80,18.10,15,19.50,11,40,359,2025-11-24,0.40999,0.94962,0.00876,-0.17946,0.02997,0.02666
74,AAPL251128C00260000,AAPL,2025-11-28,260.00,call,16.15,15.97,15.75,18,16.20,82,132,2462,2025-11-24,0.01976,1.0,0.00000,-0.02763,0.00000,0.02848
76,AAPL251128C00262500,AAPL,2025-11-28,262.50,call,13.77,13.52,13.35,19,13.70,56,131,630,2025-11-24,0.01976,1.0,0.00000,-0.02789,0.00000,0.02875
78,AAPL251128C00265000,AAPL,2025-11-28,265.00,call,11.25,11.20,11.15,21,11.25,95,815,4722,2025-11-24,0.25390,0.93926,0.01640,-0.13661,0.03474,0.02717
80,AAPL251128C00267500,AAPL,2025-11-28,267.50,call,8.70,8.78,8.75,44,8.80,54,1003,2311,2025-11-24,0.21487,0.92042,0.02386,-0.14094,0.04277,0.02687
82,AAPL251128C00270000,AAPL,2025-11-28,270.00,call,6.52,6.55,6.50,28,6.60,46,4667,12543,2025-11-24,0.21487,0.83998,0.03921,-0.21272,0.07029,0.02468
84,AAPL251128C00272500,AAPL,2025-11-28,272.50,call,4.70,4.53,4.50,29,4.55,76,11311,9192,2025-11-24,0.21487,0.7206,0.05418,-0.28153,0.09713,0.02128
86,AAPL251128C00275000,AAPL,2025-11-28,275.00,call,2.92,2.87,2.91,1,2.83,26,49210,19067,2025-11-24,0.19536,0.57704,0.06938,-0.29276,0.11308,0.01714
89,AAPL251128P00277500,AAPL,2025-11-28,277.50,put,3.35,3.33,3.35,34,3.30,1,8062,1962,2025-11-24,0.21487,-0.5885,0.06269,-0.28425,0.11239,-0.01815
91,AAPL251128P00280000,AAPL,2025-11-28,280.00,put,4.60,5.03,5.00,46,5.05,23,2535,567,2025-11-24,0.21487,-0.73316,0.05296,-0.23297,0.09494,-0.02271
93,AAPL251128P00282500,AAPL,2025-11-28,282.50,put,6.00,6.95,6.90,46,7.00,19,689,35,2025-11-24,0.21487,-0.84556,0.03830,-0.15888,0.06866,-0.02633
95,AAPL251128P00285000,AAPL,2025-11-28,285.00,put,9.20,9.22,8.95,46,9.50,23,227,91,2025-11-24,0.21487,-0.92062,0.02381,-0.08668,0.04269,-0.02884
97,AAPL251128P00287500,AAPL,2025-11-28,287.50,put,10.70,11.93,11.45,46,12.40,84,60,12,2025-11-24,0.31243,-0.89021,0.02081,-0.18445,0.05424,-0.02823
99,AAPL251128P00290000,AAPL,2025-11-28,290.00,put,14.12,14.25,14.10,38,14.40,29,282,147,2025-11-24,0.31243,-0.9322,0.01452,-0.11893,0.03784,-0.02975
101,AAPL251128P00292500,AAPL,2025-11-28,292.50,put,17.65,16.82,15.75,20,17.90,30,2,1,2025-11-24,0.37097,-0.92952,0.01260,-0.15173,0.03899,-0.02995
103,AAPL251128P00295000,AAPL,2025-11-28,295.00,put,18.75,19.12,18.25,20,20.00,50,5,2,2025-11-24,0.35146,-0.96306,0.00795,-0.07219,0.02333,-0.03121
105,AAPL251128P00297500,AAPL,2025-11-28,297.50,put,0.00,21.82,20.75,6,22.90,30,0,0,2025-11-24,0.46853,-0.93347,0.00954,-0.18870,0.03729,-0.03062
107,AAPL251128P00300000,AAPL,2025-11-28,300.00,put,23.75,24.12,23.25,20,25.00,56,1,0,2025-11-24,0.42950,-0.9663,0.00604,-0.08525,0.02164,-0.03186
109,AAPL251128P00302500,AAPL,2025-11-28,302.50,put,0.00,26.82,25.75,6,27.90,30,0,0,2025-11-24,0.54657,-0.94195,0.00735,-0.19860,0.03353,-0.03142
111,AAPL251128P00305000,AAPL,2025-11-28,305.00,put,28.54,29.27,29.15,10,29.40,23,230,1,2025-11-24,0.56608,-0.95094,0.00621,-0.17662,0.02934,-0.03196
113,AAPL251128P00307500,AAPL,2025-11-28,307.50,put,32.57,31.82,30.75,20,32.90,30,2,0,2025-11-24,0.62462,-0.94717,0.00597,-0.21183,0.03112,-0.03213
115,AAPL251128P00310000,AAPL,2025-11-28,310.00,put,36.62,34.35,33.25,20,35.45,13,5,6,2025-11-24,0.66364,-0.94903,0.00546,-0.21946,0.03025,-0.03246
117,AAPL251128P00312500,AAPL,2025-11-28,312.50,put,0.00,36.85,35.80,17,37.90,30,0,0,2025-11-24,0.70267,-0.95052,0.00504,-0.22770,0.02954,-0.03278
119,AAPL251128P00315000,AAPL,2025-11-28,315.00,put,0.00,39.33,38.25,5,40.40,30,0,0,2025-11-24,0.72218,-0.95625,0.00444,-0.20940,0.02677,-0.03322
121,AAPL251128P00317500,AAPL,2025-11-28,317.50,put,0.00,41.67,40.75,4,42.60,30,0,1,2025-11-24,0.70267,-0.96896,0.00345,-0.14473,0.02022,-0.03387
123,AAPL251128P00320000,AAPL,2025-11-28,320.00,put,0.00,44.30,43.25,5,45.35,30,0,0,2025-11-24,0.78071,-0.96142,0.00371,-0.20298,0.02417,-0.03392
125,AAPL251128P00322500,AAPL,2025-11-28,322.50,put,0.00,46.83,45.75,3,47.90,30,0,0,2025-11-24,0.83925,-0.9579,0.00371,-0.23914,0.02595,-0.03410
127,AAPL251128P00325000,AAPL,2025-11-28,325.00,put,0.00,49.33,48.25,4,50.40,30,0,0,2025-11-24,0.85876,-0.96175,0.00335,-0.22417,0.02400,-0.03449
129,AAPL251128P00330000,AAPL,2025-11-28,330.00,put,0.00,54.27,53.25,6,55.30,30,0,0,2025-11-24,0.89778,-0.96805,0.00276,-0.19820,0.02071,-0.03522
131,AAPL251128P00335000,AAPL,2025-11-28,335.00,put,0.00,59.33,58.25,6,60.40,30,0,0,2025-11-24,0.99534,-0.96453,0.00272,-0.24615,0.02256,-0.03567
133,AAPL251128P00340000,AAPL,2025-11-28,340.00,put,0.00,64.28,63.25,6,65.30,30,0,0,2025-11-24,1.03437,-0.9693,0.00232,-0.22378,0.02004,-0.03635
135,AAPL251128P00345000,AAPL,2025-11-28,345.00,put,0.00,69.33,68.25,7,70.40,30,0,0,2025-11-24,1.11241,-0.96833,0.00221,-0.25006,0.02056,-0.03688
137,AAPL251128P00350000,AAPL,2025-11-28,350.00,put,0.00,74.28,73.25,4,75.30,30,0,0,2025-11-24,1.15144,-0.97188,0.00194,-0.23164,0.01862,-0.03753
139,AAPL251128P00355000,AAPL,2025-11-28,355.00,put,0.00,79.33,78.25,3,80.40,30,0,0,2025-11-24,1.22948,-0.97064,0.00188,-0.25977,0.01930,-0.03804
141,AAPL251128P00360000,AAPL,2025-11-28,360.00,put,0.00,84.28,83.25,3,85.30,50,0,0,2025-11-24,1.26851,-0.97341,0.00168,-0.24434,0.01778,-0.03867
143,AAPL251128P00365000,AAPL,2025-11-28,365.00,put,0.00,89.33,88.25,3,90.40,50,0,0,2025-11-24,1.34655,-0.97202,0.00165,-0.27420,0.01855,-0.03918
145,AAPL251128P00370000,AAPL,2025-11-28,370.00,put,0.00,94.28,93.25,5,95.30,30,0,0,2025-11-24,1.38558,-0.97425,0.00150,-0.26113,0.01731,-0.03979
147,AAPL251128P00375000,AAPL,2025-11-28,375.00,put,0.00,99.33,98.25,3,100.40,50,0,0,2025-11-24,1.46362,-0.97276,0.00149,-0.29269,0.01814,-0.04030
149,AAPL251128P00380000,AAPL,2025-11-28,380.00,put,0.00,104.28,103.25,3,105.30,30,0,0,2025-11-24,1.48313,-0.97621,0.00131,-0.26051,0.01619,-0.04095
151,AAPL251128P00385000,AAPL,2025-11-28,385.00,put,0.00,109.33,108.25,3,110.40,50,0,0,2025-11-24,1.56118,-0.97465,0.00131,-0.29308,0.01708,-0.04145
153,AAPL251128P00390000,AAPL,2025-11-28,390.00,put,0.00,114.28,113.25,5,115.30,50,0,0,2025-11-24,1.58069,-0.97756,0.00117,-0.26372,0.01541,-0.04208
155,AAPL251128P00395000,AAPL,2025-11-28,395.00,put,0.00,119.33,118.25,6,120.40,30,0,0,2025-11-24,1.65874,-0.97597,0.00118,-0.29726,0.01633,-0.04259
157,AAPL251128P00400000,AAPL,2025-11-28,400.00,put,0.00,124.28,123.25,6,125.30,30,0,0,2025-11-24,1.67825,-0.97849,0.00106,-0.27017,0.01488,-0.04321
158,AAPL251205C00110000,AAPL,2025-12-05,110.00,call,160.42,165.97,164.50,20,167.45,50,0,1,2025-11-24,0.01976,1.0,0.00000,-0.01168,0.00000,0.03311
160,AAPL251205C00120000,AAPL,2025-12-05,120.00,call,150.51,155.97,154.50,20,157.45,50,0,1,2025-11-24,0.01976,1.0,0.00000,-0.01274,0.00000,0.03612
162,AAPL251205C00125000,AAPL,2025-12-05,125.00,call,0.00,151.00,149.50,20,152.50,50,0,0,2025-11-24,0.01976,1.0,0.00000,-0.01327,0.00000,0.03763
164,AAPL251205C00130000,AAPL,2025-12-05,130.00,call,140.54,146.00,144.50,20,147.50,50,0,0,2025-11-24,0.01976,1.0,0.00000,-0.01380,0.00000,0.03913
166,AAPL251205C00135000,AAPL,2025-12-05,135.00,call,0.00,141.00,139.50,20,142.50,50,0,0,2025-11-24,0.01976,1.0,0.00000,-0.01433,0.00000,0.04064
168,AAPL251205C00140000,AAPL,2025-12-05,140.00,call,130.59,136.00,134.50,20,137.50,50,0,1,2025-11-24,0.01976,1.0,0.00000,-0.01486,0.00000,0.04214
170,AAPL251205C00145000,AAPL,2025-12-05,145.00,call,0.00,131.00,129.50,20,132.50,50,0,0,2025-11-24,0.01976,1.0,0.00000,-0.01540,0.00000,0.04365
172,AAPL251205C00150000,AAPL,2025-12-05,150.00,call,119.14,125.42,124.50,20,126.35,50,0,3,2025-11-24,0.01976,1.0,0.00000,-0.01593,0.00000,0.04515
174,AAPL251205C00155000,AAPL,2025-12-05,155.00,call,0.00,121.00,119.50,20,122.50,50,0,0,2025-11-24,0.01976,1.0,0.00000,-0.01646,0.00000,0.04666
176,AAPL251205C00160000,AAPL,2025-12-05,160.00,call,111.66,115.95,114.35,20,117.55,50,0,0,2025-11-24,0.01976,1.0,0.00000,-0.01699,0.00000,0.04816
178,AAPL251205C00165000,AAPL,2025-12-05,165.00,call,101.75,111.03,109.50,20,112.55,50,0,2,2025-11-24,0.01976,1.0,0.00000,-0.01752,0.00000,0.04967
180,AAPL251205C00170000,AAPL,2025-12-05,170.00,call,103.03,106.03,104.50,20,107.55,50,0,2,2025-11-24,0.01976,1.0,0.00000,-0.01805,0.00000,0.05117
182,AAPL251205C00175000,AAPL,2025-12-05,175.00,call,93.39,101.03,99.50,20,102.55,50,0,1,2025-11-24,0.01976,1.0,0.00000,-0.01858,0.00000,0.05268
184,AAPL251205C00180000,AAPL,2025-12-05,180.00,call,87.74,96.03,94.50,20,97.55,50,0,1,2025-11-24,0.01976,1.0,0.00000,-0.01911,0.00000,0.05418
186,AAPL251205C00185000,AAPL,2025-12-05,185.00,call,85.83,90.42,89.50,20,91.35,50,0,11,2025-11-24,0.01976,1.0,0.00000,-0.01964,0.00000,0.05569
188,AAPL251205C00190000,AAPL,2025-12-05,190.00,call,84.18,86.03,84.50,20,87.55,50,0,14,2025-11-24,0.01976,1.0,0.00000,-0.02017,0.00000,0.05719
190,AAPL251205C00195000,AAPL,2025-12-05,195.00,call,80.39,81.08,80.20,22,81.95,50,6,8,2025-11-24,0.01976,1.0,0.00000,-0.02070,0.00000,0.05870
192,AAPL251205C00200000,AAPL,2025-12-05,200.00,call,71.00,76.05,74.50,20,77.60,50,0,58,2025-11-24,0.01976,1.0,0.00000,-0.02124,0.00000,0.06020
194,AAPL251205C00205000,AAPL,2025-12-05,205.00,call,66.17,71.03,69.45,20,72.60,50,0,5,2025-11-24,0.01976,1.0,0.00000,-0.02177,0.00000,0.06171
196,AAPL251205C00210000,AAPL,2025-12-05,210.00,call,66.41,66.42,65.55,10,67.30,10,6,53,2025-11-24,0.78071,0.98172,0.00120,-0.09797,0.02148,0.06162
198,AAPL251205C00215000,AAPL,2025-12-05,215.00,call,57.97,61.08,59.50,25,62.65,55,0,184,2025-11-24,0.01976,1.0,0.00000,-0.02283,0.00000,0.06472
200,AAPL251205C00220000,AAPL,2025-12-05,220.00,call,56.75,56.15,54.65,29,57.65,77,2,317,2025-11-24,0.01976,1.0,0.00000,-0.02336,0.00000,0.06622
202,AAPL251205C00225000,AAPL,2025-12-05,225.00,call,46.59,50.75,49.55,25,51.95,55,0,176,2025-11-24,0.01976,1.0,0.00000,-0.02389,0.00000,0.06773
204,AAPL251205C00230000,AAPL,2025-12-05,230.00,call,46.48,46.42,45.15,25,47.70,51,5,167,2025-11-24,0.54657,0.97605,0.00215,-0.09079,0.02701,0.06717
206,AAPL251205C00235000,AAPL,2025-12-05,235.00,call,42.09,41.50,40.90,18,42.10,77,16,313,2025-11-24,0.50755,0.96989,0.00281,-0.09946,0.03269,0.06815
208,AAPL251205C00237500,AAPL,2025-12-05,237.50,call,37.79,38.70,37.10,20,40.30,30,2,0,2025-11-24,0.27341,0.99933,0.00018,-0.02658,0.00111,0.07144
210,AAPL251205C00240000,AAPL,2025-12-05,240.00,call,37.04,36.33,35.85,18,36.80,13,10,540,2025-11-24,0.39048,0.98251,0.00231,-0.06168,0.02069,0.07075
212,AAPL251205C00242500,AAPL,2025-12-05,242.50,call,34.37,33.95,32.95,46,34.95,50,20,0,2025-11-24,0.40999,0.96898,0.00356,-0.08726,0.03351,0.07034
214,AAPL251205C00245000,AAPL,2025-12-05,245.00,call,28.34,31.10,29.95,26,32.25,51,2,321,2025-11-24,0.01976,1.0,0.00000,-0.02601,0.00000,0.07375
216,AAPL251205C00247500,AAPL,2025-12-05,247.50,call,29.55,28.98,28.05,46,29.90,76,11,8,2025-11-24,0.37097,0.95892,0.00496,-0.09617,0.04218,0.07099
218,AAPL251205C00250000,AAPL,2025-12-05,250.00,call,25.89,26.55,25.90,33,27.20,30,33,180,2025-11-24,0.35146,0.9522,0.00591,-0.10124,0.04766,0.07118
220,AAPL251205C00252500,AAPL,2025-12-05,252.50,call,23.45,23.82,22.75,46,24.90,56,19,55,2025-11-24,0.25390,0.98035,0.00392,-0.05259,0.02285,0.07435
222,AAPL251205C00255000,AAPL,2025-12-05,255.00,call,22.10,21.65,20.90,72,22.40,51,42,276,2025-11-24,0.31243,0.9335,0.00862,-0.11286,0.06182,0.07110
224,AAPL251205C00257500,AAPL,2025-12-05,257.50,call,19.07,19.12,18.60,22,19.65,57,172,482,2025-11-24,0.27341,0.93371,0.00983,-0.10199,0.06166,0.07188
226,AAPL251205C00260000,AAPL,2025-12-05,260.00,call,16.95,16.75,16.70,28,16.80,56,369,557,2025-11-24,0.25390,0.91878,0.01237,-0.10830,0.07203,0.07137
228,AAPL251205C00262500,AAPL,2025-12-05,262.50,call,15.07,14.55,14.50,10,14.60,46,11,1661,2025-11-24,0.27341,0.86408,0.01666,-0.15363,0.10448,0.06744
230,AAPL251205C00265000,AAPL,2025-12-05,265.00,call,12.88,12.32,12.20,15,12.45,56,211,996,2025-11-24,0.25390,0.83266,0.02060,-0.16159,0.11999,0.06552
232,AAPL251205C00267500,AAPL,2025-12-05,267.50,call,10.40,10.07,10.05,27,10.10,26,218,779,2025-11-24,0.23438,0.79124,0.02558,-0.16870,0.13757,0.06276
234,AAPL251205C00270000,AAPL,2025-12-05,270.00,call,8.15,8.12,8.10,57,8.15,45,1982,3099,2025-11-24,0.23438,0.71976,0.03000,-0.19209,0.16131,0.05737
236,AAPL251205C00272500,AAPL,2025-12-05,272.50,call,6.32,6.32,6.30,41,6.35,42,2340,1735,2025-11-24,0.21487,0.64964,0.03600,-0.19174,0.17749,0.05215
238,AAPL251205C00275000,AAPL,2025-12-05,275.00,call,4.80,4.78,4.75,50,4.80,133,5759,4676,2025-11-24,0.21487,0.55549,0.03839,-0.20062,0.18924,0.04476
241,AAPL251205P00277500,AAPL,2025-12-05,277.50,put,5.00,4.97,4.95,76,5.00,12,927,115,2025-11-24,0.23438,-0.53635,0.03539,-0.18646,0.19030,-0.04615
243,AAPL251205P00280000,AAPL,2025-12-05,280.00,put,6.55,6.43,6.40,92,6.45,50,2842,732,2025-11-24,0.21487,-0.63439,0.03654,-0.15667,0.18014,-0.05464
245,AAPL251205P00282500,AAPL,2025-12-05,282.50,put,7.15,8.07,8.05,13,8.10,16,204,63,2025-11-24,0.21487,-0.71965,0.03273,-0.13562,0.16134,-0.06225
247,AAPL251205P00285000,AAPL,2025-12-05,285.00,put,10.05,9.95,9.70,46,10.20,30,111,185,2025-11-24,0.21487,-0.79332,0.02774,-0.10924,0.13675,-0.06896
249,AAPL251205P00287500,AAPL,2025-12-05,287.50,put,11.00,11.98,11.80,46,12.15,28,83,21,2025-11-24,0.21487,-0.85363,0.02229,-0.08099,0.10987,-0.07460
251,AAPL251205P00290000,AAPL,2025-12-05,290.00,put,14.13,14.65,14.05,100,15.25,12,251,166,2025-11-24,0.25390,-0.86006,0.01830,-0.09622,0.10658,-0.07592
253,AAPL251205P00292500,AAPL,2025-12-05,292.50,put,16.00,16.43,15.25,20,17.60,50,2,1,2025-11-24,0.19536,-0.95246,0.01059,-0.01246,0.04745,-0.08415
255,AAPL251205P00295000,AAPL,2025-12-05,295.00,put,0.00,19.25,17.85,20,20.65,50,0,6,2025-11-24,0.27341,-0.91315,0.01208,-0.06531,0.07575,-0.08173
257,AAPL251205P00297500,AAPL,2025-12-05,297.50,put,0.00,21.70,20.25,20,23.15,50,0,0,2025-11-24,0.29292,-0.92399,0.01019,-0.06179,0.06850,-0.08337
259,AAPL251205P00300000,AAPL,2025-12-05,300.00,put,25.12,24.27,23.00,46,25.55,76,3,3,2025-11-24,0.33194,-0.91967,0.00938,-0.07822,0.07143,-0.08380
261,AAPL251205P00305000,AAPL,2025-12-05,305.00,put,0.00,29.23,27.80,20,30.65,50,0,0,2025-11-24,0.37097,-0.93391,0.00723,-0.07324,0.06152,-0.08647
263,AAPL251205P00310000,AAPL,2025-12-05,310.00,put,0.00,34.25,32.95,20,35.55,50,0,0,2025-11-24,0.42950,-0.93435,0.00621,-0.08844,0.06121,-0.08803
265,AAPL251205P00315000,AAPL,2025-12-05,315.00,put,0.00,39.23,37.75,20,40.70,50,0,0,2025-11-24,0.46853,-0.9422,0.00515,-0.08620,0.05541,-0.09018
267,AAPL251205P00320000,AAPL,2025-12-05,320.00,put,0.00,44.25,42.95,20,45.55,50,0,0,2025-11-24,0.50755,-0.94789,0.00438,-0.08527,0.05105,-0.09215
269,AAPL251205P00325000,AAPL,2025-12-05,325.00,put,0.00,49.23,47.75,20,50.70,50,0,0,2025-11-24,0.54657,-0.95211,0.00381,-0.08543,0.04773,-0.09400
271,AAPL251205P00330000,AAPL,2025-12-05,330.00,put,53.82,54.25,52.95,46,55.55,56,1,0,2025-11-24,0.60511,-0.94952,0.00359,-0.10331,0.04978,-0.09532
273,AAPL251205P00335000,AAPL,2025-12-05,335.00,put,0.00,59.23,57.75,20,60.70,50,0,0,2025-11-24,0.64413,-0.95241,0.00321,-0.10480,0.04749,-0.09706
275,AAPL251205P00340000,AAPL,2025-12-05,340.00,put,0.00,64.25,62.95,20,65.55,50,0,0,2025-11-24,0.68315,-0.95465,0.00291,-0.10703,0.04568,-0.09875
277,AAPL251205P00345000,AAPL,2025-12-05,345.00,put,0.00,69.22,67.75,20,70.70,50,0,0,2025-11-24,0.70267,-0.96089,0.00251,-0.09391,0.04053,-0.10075
279,AAPL251205P00350000,AAPL,2025-12-05,350.00,put,0.00,74.25,72.95,20,75.55,50,0,0,2025-11-24,0.76120,-0.95772,0.00247,-0.11341,0.04318,-0.10202
281,AAPL251205P00355000,AAPL,2025-12-05,355.00,put,0.00,79.25,77.85,20,80.65,50,0,0,2025-11-24,0.80022,-0.95873,0.00231,-0.11744,0.04233,-0.10361
283,AAPL251205P00360000,AAPL,2025-12-05,360.00,put,0.00,84.00,82.95,20,85.05,50,0,0,2025-11-24,0.76120,-0.97369,0.00167,-0.06362,0.02922,-0.10628
285,AAPL251205P00365000,AAPL,2025-12-05,365.00,put,0.00,89.25,87.85,20,90.65,50,0,0,2025-11-24,0.85876,-0.96362,0.00194,-0.11137,0.03820,-0.10702
287,AAPL251205P00370000,AAPL,2025-12-05,370.00,put,0.00,94.25,92.95,20,95.55,50,0,0,2025-11-24,0.89778,-0.96383,0.00185,-0.11686,0.03802,-0.10855
289,AAPL251205P00375000,AAPL,2025-12-05,375.00,put,0.00,99.25,97.85,20,100.65,50,0,0,2025-11-24,0.93681,-0.96392,0.00177,-0.12277,0.03795,-0.11006
291,AAPL251205P00380000,AAPL,2025-12-05,380.00,put,0.00,104.25,102.95,20,105.55,50,0,0,2025-11-24,0.97583,-0.96389,0.00170,-0.12907,0.03797,-0.11157
293,AAPL251205P00385000,AAPL,2025-12-05,385.00,put,0.00,109.25,107.85,20,110.65,50,0,0,2025-11-24,0.99534,-0.96673,0.00155,-0.12065,0.03550,-0.11330
